"id","name","slug","created_at","updated_at","deleted_at","latitude","longitude"
1,"İstanbul","istanbul","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
2,"Ankara","ankara","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
3,"İzmir","izmir","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
4,"Bursa","bursa","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
5,"Adana","adana","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
6,"Adıyaman","adiyaman","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
7,"Afyonkarahisar","afyonkarahisar","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
8,"Ağrı","agri","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
9,"Aksaray","aksaray","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
10,"Amasya","amasya","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
11,"Antalya","antalya","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
12,"Ardahan","ardahan","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
13,"Artvin","artvin","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
14,"Aydın","aydin","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
15,"Balıkesir","balikesir","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
16,"Bartın","bartin","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
17,"Batman","batman","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
18,"Bayburt","bayburt","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
19,"Bilecik","bilecik","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
20,"Bingöl","bingol","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
21,"Bitlis","bitlis","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
22,"Bolu","bolu","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
23,"Burdur","burdur","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
24,"Çanakkale","canakkale","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
25,"Çankırı","cankiri","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
26,"Çorum","corum","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
27,"Denizli","denizli","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
28,"Diyarbakır","diyarbakir","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
29,"Kocaeli","kocaeli","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
30,"Konya","konya","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
31,"Kütahya","kutahya","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
32,"Malatya","malatya","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
33,"Manisa","manisa","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
34,"Mardin","mardin","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
35,"Mersin","mersin","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
36,"Muğla","mugla","2018-05-28 11:46:56","2018-05-28 11:46:56",,,
