"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
1,"Adalar","adalar","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
2,"Arnavutköy","arnavutkoy","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
3,"Ataşehir","atasehir","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
4,"Avcılar","avcilar","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
5,"Bağcılar","bagcilar","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
6,"Bahçelievler","bahcelievler","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
7,"Bakırköy","bakirkoy","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
8,"Başakşehir","basaksehir","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
9,"Bayrampaşa","bayrampasa","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
10,"Beşiktaş","besiktas","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
11,"Beykoz","beykoz","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
12,"Beylikdüzü","beylikduzu","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
13,"Beyoğlu","beyoglu","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
14,"Büyükçekmece","buyukcekmece","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
15,"Çatalca","catalca","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
16,"Çekmeköy","cekmekoy","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
17,"Esenler","esenler","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
18,"Esenyurt","esenyurt","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
19,"Eyüp","eyup","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
20,"Fatih","fatih","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
21,"Gaziosmanpaşa","gaziosmanpasa","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
22,"Güngören","gungoren","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
23,"Kadıköy","kadikoy","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
24,"Kağıthane","kagithane","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
25,"Kartal","kartal","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
26,"Küçükçekmece","kucukcekmece","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
27,"Maltepe","maltepe","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
28,"Pendik","pendik","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
29,"Sancaktepe","sancaktepe","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
30,"Sarıyer","sariyer","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
31,"Silivri","silivri","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
32,"Sultanbeyli","sultanbeyli","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
33,"Sultangazi","sultangazi","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
34,"Şile","sile","2018-05-28 11:46:56","2018-05-28 11:46:56",,1,,
35,"Şişli","sisli","2018-05-28 11:46:57","2018-05-28 11:46:57",,1,,
36,"Tuzla","tuzla","2018-05-28 11:46:57","2018-05-28 11:46:57",,1,,
37,"Ümraniye","umraniye","2018-05-28 11:46:57","2018-05-28 11:46:57",,1,,
38,"Üsküdar","uskudar","2018-05-28 11:46:57","2018-05-28 11:46:57",,1,,
39,"Zeytinburnu","zeytinburnu","2018-05-28 11:46:57","2018-05-28 11:46:57",,1,,
