"id","name","slug","created_at","updated_at","deleted_at","districtId","latitude","longitude"
1,"Boğazköy Istiklal","bogazkoy-istiklal","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
2,"Dursunköy","dursunkoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
3,"Burgazada","burgazada","2018-05-28 11:47:03","2018-05-28 11:47:03",,1,,
4,"Heybeliada","heybeliada","2018-05-28 11:47:03","2018-05-28 11:47:03",,1,,
5,"Nizam","nizam","2018-05-28 11:47:03","2018-05-28 11:47:03",,1,,
6,"Bolluca","bolluca","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
7,"Çilingir","cilingir","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
8,"Boyalık","boyalik","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
9,"Arnavutköy Merkez","arnavutkoy-merkez","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
10,"Balaban","balaban","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
11,"Fatih ","fatih","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
12,"Atatürk","ataturk","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
13,"Baklalı","baklali","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
14,"Hacımaşlı","hacimasli","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
15,"Kınalıada","kinaliada","2018-05-28 11:47:03","2018-05-28 11:47:03",,1,,
16,"Deliklikaya","deliklikaya","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
17,"Durusu","durusu","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
18,"Adnan Menderes","adnan-menderes","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
19,"Maden","maden","2018-05-28 11:47:03","2018-05-28 11:47:03",,1,,
20,"İmrahor","imrahor","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
21,"Anadolu","anadolu","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
22,"Haraççı","haracci","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
23,"Hastane ","hastane","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
24,"İslambey","islambey","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
25,"Hadımköy","hadimkoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
26,"Mareşal Fevzi Çakmak","maresal-fevzi-cakmak","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
27,"Hicret","hicret","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
28,"Mavigöl","mavigol","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
29,"Karaburun","karaburun","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
30,"Ömerli","omerli","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
31,"Mustafa Kemal Paşa","mustafa-kemal-pasa","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
32,"Karlıbayır","karlibayir","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
33,"Mehmet Akif Ersoy","mehmet-akif-ersoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
34,"Nenehatun","nenehatun","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
35,"Tayakadın","tayakadin","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
36,"Yeniköy","yenikoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
37,"Yunus Emre","yunus-emre","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
38,"Taşoluk","tasoluk","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
40,"Yavuz Selim","yavuz-selim","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
39,"Sazlıbosna","sazlibosna","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
41,"Terkos","terkos","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
42,"Aşıkveysel","asikveysel","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
43,"Yassıören","yassioren","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
44,"Küçükbakkalköy","kucukbakkalkoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
45,"Yeşilbayır","yesilbayir","2018-05-28 11:47:03","2018-05-28 11:47:03",,2,,
46,"Barbaros","barbaros","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
47,"Ferhatpaşa","ferhatpasa","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
48,"Fetih","fetih","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
49,"Atatürk","ataturk","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
50,"Mevlana","mevlana","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
51,"Mustafa Kemal","mustafa-kemal","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
52,"İçerenköy","icerenkoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
53,"Esatpaşa","esatpasa","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
54,"Mimar Sinan","mimar-sinan","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
55,"Kayışdağı","kayisdagi","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
56,"İnönü","inonu","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
57,"Firuzköy","firuzkoy","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
58,"Örnek","ornek","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
59,"Cihangir","cihangir","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
60,"Mustafa Kemalpaşa","mustafa-kemalpasa","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
61,"Üniversite","universite","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
62,"Yenisahra","yenisahra","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
63,"Merkez","merkez","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
64,"Yeni Çamlıca","yeni-camlica","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
65,"Gümüşpala","gumuspala","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
66,"Denizköşkler","denizkoskler","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
67,"Ambarlı","ambarli","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
68,"Yenişehir","yenisehir","2018-05-28 11:47:03","2018-05-28 11:47:03",,3,,
69,"Yeşilkent","yesilkent","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
70,"Barbaros","barbaros","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
71,"Göztepe","goztepe","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
72,"Tahtakale","tahtakale","2018-05-28 11:47:03","2018-05-28 11:47:03",,4,,
73,"Fatih","fatih","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
74,"Fevzi Çakmak","fevzi-cakmak","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
75,"Çınar","cinar","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
76,"Güneşli","gunesli","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
77,"İnönü","inonu","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
78,"Demirkapı","demirkapi","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
79,"Bağlar","baglar","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
80,"Kemalpaşa","kemalpasa","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
81,"Hürriyet","hurriyet","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
82,"Sancaktepe","sancaktepe","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
83,"Kirazlı","kirazli","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
84,"Mahmutbey","mahmutbey","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
85,"Yenigün","yenigun","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
86,"Yenimahalle","yenimahalle","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
87,"15 Temmuz","15-temmuz","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
88,"Kazım Karabekir","kazim-karabekir","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
89,"Bahçelievler","bahcelievler","2018-05-28 11:47:03","2018-05-28 11:47:03",,6,,
90,"Cumhuriyet","cumhuriyet","2018-05-28 11:47:03","2018-05-28 11:47:03",,6,,
91,"Merkez","merkez","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
92,"100. Yıl","100-yil","2018-05-28 11:47:03","2018-05-28 11:47:03",,5,,
98,"Ataköy 3-4-11. Kısım","atakoy-3-4-11-kisim","2018-05-28 11:47:03","2018-05-28 11:47:03",,7,,
